Name,Club,Club_Position,Rating
Lionel Messi,Inter Miami,Forward,93
Cristiano Ronaldo,Al-Nassr,Forward,92
Kylian Mbappé,PSG,Forward,91
Erling Haaland,Man City,Forward,90
Kevin De Bruyne,Man City,Midfielder,91
Robert Lewandowski,Barcelona,Forward,91
Neymar Jr.,Al-Hilal,Forward,89
Mohamed Salah,Liverpool,Forward,89
Luka Modrić,Real Madrid,Midfielder,88
Toni Kroos,Real Madrid,Midfielder,88
Virgil van Dijk,Liverpool,Defender,88
Casemiro,Man United,Midfielder,87
Bruno Fernandes,Man United,Midfielder,87
Harry Kane,Bayern Munich,Forward,90
Karim Benzema,Al-Ittihad,Forward,91
Pedri,Barcelona,Midfielder,85
Jude Bellingham,Real Madrid,Midfielder,86
Vinícius Jr.,Real Madrid,Forward,89
Son Heung-min,Tottenham,Forward,88
Joshua Kimmich,Bayern Munich,Midfielder,88
